n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.790033618451849,0.784028041724735,0.7422333957569072,0.7870193734367713,0.7307932654055644,0.26920673459443556,18565,4934,10368,5114,0.7948717948717948,0.7860026917900403,0.7464145162568342,0.7904123643825449,0.7354615563077529,0.2645384436922471,18104,4672,10156,4929
200,None,0.7891956373551465,0.7822965496853752,0.7408224519637773,0.7857309495026616,0.7294700628442561,0.2705299371557439,18524,4948,10354,5155,0.7958707518929389,0.784917292580211,0.74667864028948,0.7903560733567947,0.7360990563251744,0.26390094367482564,18079,4637,10191,4954
300,None,0.793841805490129,0.7828455593563918,0.744593519919961,0.7883053370189241,0.7341230802924947,0.26587691970750527,18537,4814,10488,5142,0.7949629239612127,0.7866105153475448,0.7467578774992737,0.7907646648044692,0.7357317480972955,0.26426825190270453,18118,4673,10155,4915
400,None,0.7926125432858792,0.7829722538958571,0.7437213001205716,0.7877629063097514,0.7329774352736376,0.26702256472636243,18540,4851,10451,5139,0.7979436942900009,0.7850909564537837,0.7483162092918835,0.7914651493598861,0.7381416476361176,0.26185835236388244,18083,4579,10249,4950
