n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.943549879696465,0.9958003711299932,0.9401247019988996,0.9689712520788786,0.5406288212471555,0.4593711787528445,10196,610,57,43,0.9321509589606104,0.9979026382602937,0.9306352459016394,0.9639068081249668,0.5296217898862096,0.47037821011379044,9040,658,43,19
200,balanced,0.9432164986590216,0.9960933684930169,0.9400330093526499,0.9689340680220407,0.5377768191790422,0.4622231808209578,10199,614,53,40,0.9319987617376948,0.9970195385804173,0.9297131147540983,0.9634133333333333,0.5284669732845025,0.47153302671549746,9032,659,42,27
300,balanced,0.9433194637078133,0.9963863658560407,0.940399779937649,0.9691270067445615,0.5386729430479603,0.4613270569520397,10202,613,54,37,0.9325077399380804,0.9974610884203554,0.9306352459016394,0.9638914075417355,0.532254082013316,0.46774591798668397,9036,654,47,23
400,balanced,0.9432164986590216,0.9960933684930169,0.9400330093526499,0.9689340680220407,0.5377768191790422,0.4622231808209578,10199,614,53,40,0.9322191272051996,0.9974610884203554,0.930327868852459,0.9637372013651877,0.5301142817280093,0.46988571827199066,9036,657,44,23
