n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7826460481099656,0.8918257464512971,0.7423812898653437,0.8336765042324411,0.6211375202089605,0.3788624797910395,1822,506,273,221,0.7912472647702407,0.8963807635101636,0.7507267441860465,0.8405392840539284,0.6237005858367144,0.3762994141632856,1808,477,258,209
200,None,0.7839453458582408,0.8986784140969163,0.7473423104181431,0.8374002280501711,0.6245638540317701,0.37543614596822994,1836,506,273,207,0.7911944202266783,0.8998512642538423,0.7525436046511628,0.8420320111343076,0.6240752919908668,0.37592470800913325,1815,479,256,202
300,None,0.784923339011925,0.902104747919726,0.7501771793054571,0.8394443179230244,0.6269188694669233,0.3730811305330767,1843,505,274,200,0.7906875543951262,0.9008428358948934,0.7525436046511628,0.8421784472769409,0.6232105335937053,0.37678946640629474,1817,481,254,200
400,None,0.7813299232736572,0.8972099853157122,0.7437987243090007,0.83526999316473,0.6193366999749292,0.38066330002507076,1833,513,266,210,0.7897257292120157,0.8993554784333168,0.7507267441860465,0.8409828465461289,0.6211063106452298,0.3788936893547702,1814,483,252,203
