n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.9435588507877665,0.9943353843148744,0.9388410049514029,0.9682818964287413,0.5406459530270025,0.45935404697299753,10181,609,58,58,0.9320879347713903,0.9969091511204328,0.9297131147540983,0.9634094303392362,0.5291250463162791,0.4708749536837209,9031,658,43,28
200,None,0.9434206871006575,0.9950190448285965,0.9392994681826518,0.9685331305257154,0.5394885329090509,0.46051146709094914,10188,611,56,51,0.9325273816904319,0.9962468263605254,0.929610655737705,0.9633345786411912,0.53236021774517,0.46763978225483005,9025,653,48,34
300,None,0.9432512497685613,0.9951167106162712,0.939207775536402,0.9684900907751534,0.5380381154280756,0.46196188457192444,10189,613,54,50,0.9327131782945737,0.9961364389005409,0.9297131147540983,0.96338208604676,0.5337315575387156,0.4662684424612844,9024,651,50,35
400,None,0.9436058894342069,0.9952143764039457,0.9396662387676509,0.9687232626675539,0.5410854490715381,0.4589145509284619,10190,609,58,49,0.9326446280991736,0.9965779887404791,0.9300204918032787,0.9635519504776136,0.5332390656969157,0.4667609343030843,9028,652,49,31
