n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7477915638627072,0.8371253518794503,0.8171664830606444,0.7899408099104336,0.8201919568406759,0.17980804315932408,126385,42626,174034,24590,0.6786958099928384,0.7725115572727069,0.6881149754596905,0.7225712450453556,0.6835304078670845,0.3164695921329155,138363,65503,96053,40745
200,None,0.7545772849952586,0.8222155986090413,0.8171692031498633,0.7869457308317722,0.8179341631926402,0.18206583680735977,124134,40374,176286,26841,0.704097553824244,0.7508151506353709,0.703091609327666,0.726706295595785,0.7004991844191735,0.29950081558082653,134477,56515,105041,44631
300,None,0.7531089491812194,0.8255141579731744,0.8172072843989283,0.7876510830581581,0.8184664854298624,0.18153351457013756,124632,40858,175802,26343,0.7026341635790119,0.7549076534828149,0.7031649954207078,0.7278335365410548,0.7003542451721683,0.29964575482783173,135210,57223,104333,43898
400,None,0.7514767324592998,0.829170392449081,0.8172344852911175,0.7884141214703408,0.8190437949506552,0.18095620504934484,125184,41400,175260,25791,0.7001886317261088,0.7605913750362909,0.7029008054857572,0.7291411872067911,0.6997669544472598,0.3002330455527402,136228,58331,103225,42880
