n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.7988442849012827,0.7706406520545631,0.7427977732741592,0.7844890589398563,0.7351765539713411,0.2648234460286589,18248,4595,10707,5431,0.8001618486714922,0.7727174054617288,0.7443279363989329,0.7862001943634598,0.7364733506941771,0.2635266493058229,17798,4445,10383,5235
200,balanced,0.7993767556179775,0.7691625490941341,0.7425155845155332,0.7839786496782386,0.735221713705347,0.26477828629465305,18213,4571,10731,5466,0.8008367824365665,0.7728476533669083,0.7448825968674889,0.7865933143324275,0.7371454344525397,0.26285456554746034,17801,4427,10401,5232
300,balanced,0.7996756946270488,0.770598420541408,0.7433878043149227,0.7848678409359743,0.735939649428984,0.26406035057101596,18247,4571,10731,5432,0.8054914732890035,0.7731081491772674,0.7483954465016772,0.7889676561807709,0.7415581209873389,0.25844187901266114,17807,4300,10528,5226
400,balanced,0.7990893568582812,0.7708095781071835,0.7430543085092738,0.78469475494411,0.7354570698012064,0.2645429301987936,18252,4589,10713,5427,0.8025598269412773,0.7731515651456605,0.7462824542405113,0.7875812657556058,0.7388485098455575,0.2611514901544425,17808,4381,10447,5225
