n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.7959687400544574,0.7454611690677264,0.816997837529071,0.7698874713547903,0.8061539206365125,0.19384607936348752,112546,28849,187811,38429,0.723267624293127,0.6583904683207897,0.6879505906112768,0.6893058600029227,0.6895563473347741,0.3104436526652259,117923,45119,116437,61185
200,balanced,0.8000716512019489,0.739605895015731,0.8171664830606444,0.7686514765608866,0.8054094277072563,0.19459057229274368,111662,27903,188757,39313,0.7519020262401988,0.6488989883198963,0.7028332902801587,0.6966135219371853,0.7057630943976366,0.2942369056023634,116223,38349,123207,62885
300,balanced,0.8024985557481225,0.7360821328034443,0.8172236049342418,0.7678568343956745,0.8049237397147471,0.19507626028525293,111130,27350,189310,39845,0.752915556133394,0.6466545324608616,0.7026512927694151,0.6957511608767998,0.7056931331744007,0.29430686682559926,115821,38009,123547,63287
400,balanced,0.8038630938128097,0.7338036098691837,0.8171556027037686,0.7672373195933406,0.8045206547453553,0.19547934525464472,110786,27031,189629,40189,0.7547184613272491,0.6445496571900753,0.7029829979099641,0.6952970900801334,0.7061571975568837,0.29384280244311634,115444,37519,124037,63664
