n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.78014486578611,0.8962310327949095,0.7420269312544295,0.8341685649202734,0.6169216781432827,0.3830783218567173,1831,516,263,212,0.7888841016803102,0.9077838373822509,0.7543604651162791,0.8441678192715536,0.6205585853577921,0.37944141464220793,1831,490,245,186
200,balanced,0.7795109612141653,0.9050416054821341,0.7459248759744862,0.837599093997735,0.6168340248206563,0.3831659751793437,1849,523,256,194,0.7885443583118001,0.9077838373822509,0.7539970930232558,0.8439732657294308,0.6198783132489486,0.3801216867510514,1831,491,244,186
300,balanced,0.780672268907563,0.9094468918257465,0.7494684620836286,0.8401537418042053,0.6196785165162109,0.38032148348378914,1858,522,257,185,0.7868217054263565,0.9058006941001487,0.7510901162790697,0.842129522931551,0.6161656531725234,0.38383434682747664,1827,495,240,190
400,balanced,0.7822410147991543,0.9055310817425355,0.7491141034727143,0.8393829401088929,0.6222135511408441,0.3777864488591559,1850,515,264,193,0.7876564523090203,0.9048091224590976,0.751453488372093,0.8421781264420858,0.6177106836785284,0.38228931632147156,1825,492,243,192
