n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9278048780487805,1.0,0.9278048780487805,0.9625506072874493,0.5,0.5,9510,740,0,0
200,balanced,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9278048780487805,1.0,0.9278048780487805,0.9625506072874493,0.5,0.5,9510,740,0,0
300,balanced,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9278048780487805,1.0,0.9278048780487805,0.9625506072874493,0.5,0.5,9510,740,0,0
400,balanced,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9278048780487805,1.0,0.9278048780487805,0.9625506072874493,0.5,0.5,9510,740,0,0
