n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.6183362080403344,0.9737567906393648,0.6192517438173748,0.7563742595147286,0.52276093807541,0.47723906192459,23302,14383,1112,628,0.6162665609783716,0.972351259603359,0.6167635527916723,0.7544011644025506,0.5218678953356933,0.47813210466430667,21769,13555,1042,619
200,balanced,0.6181482348656313,0.9929377350605934,0.6234115409004439,0.7619490451987365,0.5228322105441722,0.47716778945582783,23761,14678,817,169,0.6160763850338625,0.9914239771306057,0.6208192510477221,0.7599287866337989,0.5219160030888351,0.4780839969111649,22196,13832,765,192
300,balanced,0.6181407778325506,0.9956122022565816,0.6240202916930881,0.7627294991436301,0.5228787051941185,0.4771212948058815,23825,14718,777,105,0.616136174923886,0.9943273182061819,0.6215763147221847,0.760825728835572,0.5221002899176419,0.4778997100823581,22261,13869,728,127
400,balanced,0.6178406675996475,0.9962390305056414,0.6236905516804059,0.7626847527033079,0.5222886020550149,0.4777113979449851,23840,14746,749,90,0.6161780973451327,0.9952206539217437,0.6218466946059213,0.7611190817790531,0.5222044216378603,0.4777955783621397,22281,13879,718,107
