n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7152391546162402,0.9994818652849741,0.7149740548554485,0.8338015993084071,0.49974093264248703,0.5002590673575129,1929,768,0,1
200,balanced,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
300,balanced,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
400,balanced,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
