n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.61772786684094,0.9677392394483911,0.6169181991122384,0.7540988944789072,0.5214301231123853,0.47856987688761465,23158,14331,1164,772,0.6158712067246046,0.9654279078077541,0.6145734757334055,0.752013638814954,0.5209409868558534,0.47905901314414656,21614,13481,1116,774
200,None,0.6177679500520291,0.992352695361471,0.6226759670259987,0.7614878948212281,0.522055663589093,0.47794433641090694,23747,14693,802,183,0.6155318263763694,0.9912899767732714,0.6199269974313911,0.7594750440600243,0.5208213944974803,0.47917860550251967,22193,13862,735,195
300,None,0.6173453528131799,0.9959047221061429,0.6228281547241598,0.7622093581091886,0.5212824675390346,0.4787175324609654,23832,14772,723,98,0.6155056738176096,0.9957566553510809,0.6209003650128431,0.7607623662702407,0.5208625025059851,0.4791374974940149,22293,13926,671,95
400,None,0.6173123674546113,0.9974508984538236,0.623132530120482,0.7626365901974567,0.5212488438703452,0.4787511561296548,23869,14797,698,61,0.6155182397220614,0.9970966589244238,0.621224820873327,0.7611627312249595,0.520915939245044,0.479084060754956,22323,13944,653,65
