n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7251824817518249,0.9994969818913481,0.725018234865062,0.8405245346869712,0.5004116209191488,0.4995883790808512,1987,753,1,1,0.7151335311572701,0.9989637305699481,0.7146034099332839,0.8335495028102032,0.49948186528497407,0.5005181347150259,1928,768,0,2
200,None,0.7251824817518249,0.9994969818913481,0.725018234865062,0.8405245346869712,0.5004116209191488,0.4995883790808512,1987,753,1,1,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
300,None,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
400,None,0.725018234865062,1.0,0.725018234865062,0.8405919661733615,0.5,0.5,1988,754,0,0,0.7153446997776131,1.0,0.7153446997776131,0.8340535868625756,0.5,0.5,1930,768,0,0
