n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9277837415829023,0.9996845425867508,0.9275121951219513,0.9623930758718429,0.4998422712933754,0.5001577287066246,9507,740,0,3
200,None,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9277907884465262,0.9997896950578339,0.927609756097561,0.9624455916590748,0.49989484752891694,0.5001051524710831,9508,740,0,2
300,None,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.9277907884465262,0.9997896950578339,0.927609756097561,0.9624455916590748,0.49989484752891694,0.5001051524710831,9508,740,0,2
400,None,0.9289797500242225,1.0,0.9289797500242225,0.9631824802852981,0.5,0.5,9588,733,0,0,0.927797833935018,0.9998948475289169,0.9277073170731708,0.9624981021306747,0.49994742376445844,0.5000525762355416,9509,740,0,1
