n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.7797187899446102,0.895741556534508,0.741318214032601,0.8337129840546698,0.6160350914893336,0.38396490851066645,1830,517,262,213,0.784941583729987,0.8993554784333168,0.7456395348837209,0.8382624768946396,0.6115825011214203,0.3884174988785797,1814,497,238,203
200,balanced,0.7789115646258503,0.8967205090553109,0.7409638554216867,0.833674630261661,0.6145990221784898,0.38540097782151017,1832,520,259,211,0.7881794650560828,0.9058006941001487,0.7525436046511628,0.8429065743944637,0.6188867416078975,0.3811132583921025,1827,491,244,190
300,balanced,0.7794741306191688,0.899657366617719,0.7430900070871722,0.8352647125653261,0.616067450959694,0.38393254904030605,1838,520,259,205,0.7851310700472711,0.9058006941001487,0.7492732558139535,0.8411602209944751,0.6127642926283057,0.3872357073716943,1827,500,235,190
400,balanced,0.7807351077313055,0.9045521292217328,0.7469879518072289,0.8380952380952381,0.6191566807854492,0.38084331921455084,1848,519,260,195,0.7877215737137916,0.903321764997521,0.7507267441860465,0.8415704387990761,0.6176472770565836,0.3823527229434164,1822,491,244,195
