n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.9433543132173269,0.9954097079792948,0.939574546121401,0.9686831725514423,0.5389342392969938,0.4610657607030062,10192,612,55,47,0.9324728962312855,0.9969091511204328,0.9301229508196721,0.9636150234741785,0.5319781133633548,0.46802188663664523,9031,654,47,28
200,balanced,0.9428307123034227,0.9954097079792948,0.9390243902439024,0.9684070502161622,0.534436488172556,0.46556351182744404,10192,618,49,47,0.9323013415892673,0.9972403135003863,0.9302254098360656,0.9636780628300176,0.5307171610297937,0.4692828389702063,9034,656,45,25
300,balanced,0.9430262671106179,0.9958003711299932,0.939574546121401,0.9686950738682248,0.5361310701227178,0.46386892987728223,10196,616,51,43,0.9320198060656076,0.9973507009603709,0.9300204918032787,0.9635791606676266,0.5286325544744793,0.4713674455255207,9035,659,42,24
400,balanced,0.94309244008513,0.9954097079792948,0.9392994681826518,0.9685450917038867,0.5366853637347748,0.4633146362652252,10192,615,52,47,0.9321911445969656,0.9970195385804173,0.9299180327868852,0.9635161083848943,0.5298935068080403,0.47010649319195974,9032,657,44,27
