n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7863321799307958,0.8898678414096917,0.7452161587526577,0.8349024110218141,0.6278607499731386,0.37213925002686143,1818,494,285,225,0.7932862190812721,0.8904313336638572,0.7496366279069767,0.8390562952581172,0.6268483198931531,0.37315168010684685,1796,468,267,221
200,None,0.7850990525409131,0.8923152227116985,0.7452161587526577,0.8352806414662085,0.6258751980053999,0.3741248019946001,1823,499,280,220,0.7909530083443127,0.8929102627664849,0.748546511627907,0.8388448998602702,0.6226456075737187,0.3773543924262813,1801,476,259,216
300,None,0.7843642611683849,0.8937836514929026,0.7452161587526577,0.8355067490276824,0.6246838668247569,0.37531613317524315,1826,502,277,217,0.7921052631578948,0.8953891918691126,0.7510901162790697,0.8405864556667443,0.6252456163427196,0.3747543836572804,1806,474,261,211
400,None,0.7847013321873657,0.8937836514929026,0.7455705173635719,0.8356979405034325,0.6253257153485052,0.37467428465149477,1826,501,278,217,0.7881170816950633,0.8943976202280615,0.7463662790697675,0.8379006038086391,0.617266837324915,0.38273316267508495,1804,485,250,213
