n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.7108879442336405,0.4951283325053817,0.7099732071211936,0.5837081459270365,0.6774058536892273,0.32259414631077266,74752,30401,186259,76223,0.7287636612021858,0.5956797016325346,0.6708604372636968,0.6555353478255527,0.6749443842288301,0.3250556157711699,106691,39709,121847,72417
200,balanced,0.7158898840168633,0.488147044212618,0.7102424959538672,0.5804797555145105,0.6765760606459563,0.3234239393540437,73698,29248,187412,77277,0.7338410711180664,0.5890747481966188,0.6716207171876101,0.6535370397326586,0.6761047563063363,0.32389524369366374,105508,38267,123289,73600
300,balanced,0.7177959791511541,0.48527239609206824,0.7102696968460566,0.5790636374055003,0.6761633834978942,0.3238366165021058,73264,28804,187856,77711,0.7357663822873661,0.584072179913795,0.6710394993307188,0.6512018774374474,0.6757637138148787,0.32423628618512135,104612,37569,123987,74496
400,balanced,0.7192457968269003,0.4828415300546448,0.7102207352401159,0.5777978575419991,0.6757533598763947,0.32424664012360527,72897,28455,188205,78078,0.7375482461119309,0.5803928356075664,0.6708017283892633,0.6496006898878933,0.6757128950624427,0.3242871049375573,103953,36991,124565,75155
