n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.6741902595874834,0.5694055307170062,0.7101663334557373,0.6173833420112395,0.6888290461671434,0.31117095383285664,85966,41544,175116,65009,0.6892564683089469,0.6832916452643099,0.6715238475447949,0.6862610958151324,0.6708846005172227,0.32911539948277735,122383,55175,106381,56725
200,None,0.6748717706661632,0.5682199039576089,0.7102642566676187,0.6169707038343565,0.6887324019003405,0.31126759809965954,85787,41329,175331,65188,0.6889335699683239,0.684871697523282,0.6717351994927553,0.6868966289618098,0.6710216023083988,0.3289783976916012,122666,55386,106170,56442
300,None,0.6749042100376865,0.568180162278523,0.7102724169352754,0.6169608308519973,0.6887333009306397,0.31126669906936033,85781,41320,175340,65194,0.6881037396881541,0.6864517497822543,0.6715590728694549,0.6872767520249534,0.6707500770253716,0.3292499229746284,122949,55729,105827,56159
400,None,0.6752160997249999,0.5675840370922338,0.7103050580059026,0.6167393588691684,0.6886706301957062,0.3113293698042938,85691,41218,175442,65284,0.6870607019835754,0.6871105701587868,0.6709514360190686,0.6870856351663321,0.670073644038516,0.329926355961484,123067,56054,105502,56041
