n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.9439139705200704,0.9944330501025491,0.9392994681826518,0.9685151716921906,0.543693286670465,0.456306713329535,10182,605,62,57,0.9324380165289257,0.99635721382051,0.929610655737705,0.963338491915257,0.5317021447133934,0.4682978552866066,9026,654,47,33
200,None,0.9439035697728326,0.9942377185271999,0.9391160828901522,0.9684170471841703,0.5435956208827903,0.45640437911720966,10180,605,62,59,0.932266391326794,0.9966883762004636,0.9297131147540983,0.963401621852326,0.5304411923798323,0.46955880762016766,9029,656,45,30
300,None,0.94357453905309,0.9946283816778982,0.9391160828901522,0.9684290604792696,0.5407924517085143,0.4592075482914857,10184,609,58,55,0.9325889164598842,0.9956948890606027,0.9292008196721312,0.9631092840745288,0.5327975158569775,0.46720248414302246,9020,652,49,39
400,None,0.9437442075996293,0.9945307158902237,0.939207775536402,0.9684721099434116,0.5422428691894896,0.4577571308105104,10183,607,60,56,0.9329129625801117,0.9962468263605254,0.9300204918032787,0.9635402765173758,0.5352132847922456,0.4647867152077544,9025,649,52,34
