Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.8580697485806975,0.5361712910173572,0.6643749518996435,0.6599610136452242,0.6994671642643968,0.3005328357356032,12696,2100,13202,10983,0.8618275097060455,0.5397039030955586,0.6673357808827025,0.663747764102838,0.7026480130530397,0.2973519869469603,12431,1993,12835,10602
linear,1,balanced,0.8656031904287138,0.5499809958190802,0.6747646289217825,0.67260613572978,0.7089207031114745,0.2910792968885255,13023,2022,13280,10656,0.8651895355045381,0.5628446142491208,0.6807004569345765,0.6820106794328852,0.7133079289211615,0.28669207107883854,12964,2020,12808,10069
linear,10,balanced,0.8544735240413877,0.5928882131846784,0.6913624586336934,0.7000423845022314,0.7183170643756356,0.2816829356243644,14039,2391,12911,9640,0.8480674716340028,0.6068249902314071,0.6946726182615356,0.7074454623677683,0.7189776421348566,0.2810223578651434,13977,2504,12324,9056
