n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.8014751347054148,0.7663752692258964,0.7427721197506477,0.783532307160899,0.7363114092829259,0.26368859071707407,18147,4495,10807,5532,0.8122109158186864,0.7623844049841532,0.7482105596788252,0.7865093050858845,0.7442890463010865,0.2557109536989135,17560,4060,10768,5473
200,balanced,0.8030752869233837,0.7653617129101735,0.743464764885457,0.7837650823855036,0.7374710799552828,0.2625289200447172,18123,4444,10858,5556,0.8111470860314524,0.7613858377111101,0.7469955891286548,0.7854791391395874,0.7430142029127442,0.2569857970872558,17537,4083,10745,5496
300,balanced,0.8034961622077288,0.7648127032391571,0.7435160719324799,0.7836773551430178,0.7376867071286624,0.26231329287133764,18110,4429,10873,5569,0.8116691285081241,0.7634263882255894,0.7483162092918835,0.7868089580956217,0.7441356381376126,0.25586436186238737,17584,4080,10748,5449
400,balanced,0.8039015739303924,0.7657417965285697,0.7442343705908007,0.7843578318986028,0.7383473065769237,0.2616526934230763,18132,4423,10879,5547,0.8114580455005987,0.7649893630877437,0.7488972821637041,0.7875388294187321,0.7444450457197553,0.25555495428024466,17620,4094,10734,5413
