n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7955292286406088,0.7770176105409857,0.743233883173854,0.7861644625803834,0.7339865206018221,0.2660134793981779,18399,4729,10573,5280,0.801762114537445,0.7743672122606695,0.7462560418372468,0.7878265862761987,0.7384784537159835,0.26152154628401647,17836,4410,10418,5197
200,None,0.793983986150184,0.7747371088306094,0.7410533336753803,0.7842424760601915,0.7318333302615994,0.26816666973840064,18345,4760,10542,5334,0.8025274329915453,0.774757955976208,0.7469955891286548,0.7883982416223021,0.7393145053687352,0.2606854946312648,17845,4391,10437,5188
300,None,0.794680253896973,0.7772287681067612,0.7426951591801134,0.7858576369614416,0.7332425372359711,0.2667574627640289,18404,4755,10547,5275,0.8026090868196132,0.7746277080710285,0.7469955891286548,0.7883701919890418,0.7393505413837743,0.2606494586162257,17842,4388,10440,5191
400,None,0.7947632215693052,0.7768064529752101,0.7425668915625561,0.7856822501761954,0.7331947570064915,0.2668052429935085,18394,4750,10552,5285,0.802242839128085,0.7733686449876265,0.7461503922241884,0.7875411720494286,0.7386198498744445,0.2613801501255555,17813,4391,10437,5220
