n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
200,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
300,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
400,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
