n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
200,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
300,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
400,None,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
