n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,None,0.6169104321271608,0.7372810067892035,0.7040923742298747,0.6717460049244436,0.709123287480266,0.290876712519734,111311,69122,147538,39664,0.6237140439608403,0.9095406123679568,0.6639415964117136,0.7399856914114401,0.6506002351250267,0.34939976487497326,162906,98281,63275,16202
200,None,0.6169104321271608,0.7372810067892035,0.7040923742298747,0.6717460049244436,0.709123287480266,0.290876712519734,111311,69122,147538,39664,0.6237140439608403,0.9095406123679568,0.6639415964117136,0.7399856914114401,0.6506002351250267,0.34939976487497326,162906,98281,63275,16202
300,None,0.6169104321271608,0.7372810067892035,0.7040923742298747,0.6717460049244436,0.709123287480266,0.290876712519734,111311,69122,147538,39664,0.6237140439608403,0.9095406123679568,0.6639415964117136,0.7399856914114401,0.6506002351250267,0.34939976487497326,162906,98281,63275,16202
400,None,0.6169104321271608,0.7372810067892035,0.7040923742298747,0.6717460049244436,0.709123287480266,0.290876712519734,111311,69122,147538,39664,0.6237140439608403,0.9095406123679568,0.6639415964117136,0.7399856914114401,0.6506002351250267,0.34939976487497326,162906,98281,63275,16202
