n_estimators,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
100,balanced,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
200,balanced,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
300,balanced,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
400,balanced,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
